StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,key_resp_3.rt,key_resp_10.keys,key_resp_10.rt,selectedPrimeThresh,ThreshPrimeduration,Text52_RT,captured_string_Thresh,threshLoop.thisRepN,threshLoop.thisTrialN,threshLoop.thisN,threshLoop.thisIndex,threshLoop.ran,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
603a66ce28bb606433cb9c91rightrightrig,62498.6,space,29.5161,TIGER,8000.3,0,0,0,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BELOW,4049.8,1,0,1,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AFTER,2049.9,2,0,2,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WHOLE,3382.9,3,0,3,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HORSE,1433.2,4,0,4,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHARK,4766.3,5,0,5,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FROG,1633.3,6,0,6,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JUMP,5482.8,7,0,7,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHOES,1833.2,8,0,8,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SMILE,1933.4,9,0,9,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PICTURE,3183.4,10,0,10,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SMOOTH,2766.4,11,0,11,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FISH,2799.6,12,0,12,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HISTORY,5165.3,13,0,13,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TRUST,6116.4,14,0,14,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPEAK,2632.9,15,0,15,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LIVE,4249.4,16,0,16,0,1,603a66ce28bb606433cb9c91,001,2021-06-03_01h32.09.549,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
