StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,key_resp_3.rt,key_resp_10.keys,key_resp_10.rt,selectedPrimeThresh,ThreshPrimeduration,Text52_RT,captured_string_Thresh,threshLoop.thisRepN,threshLoop.thisTrialN,threshLoop.thisN,threshLoop.thisIndex,threshLoop.ran,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
60bbdd269e0a53d9fa207c54,133845.6,space,8.6313,BELL,7853.2,0,0,0,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STICKY,2054.9,1,0,1,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SWOARD,7561.5,2,0,2,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SING,2922.7,3,0,3,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HAPPY,1728.7,4,0,4,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MARRY,6290.9,5,0,5,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CARD,2048,6,0,6,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOOL,1552,7,0,7,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TRAILER,4563,8,0,8,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BUSH,4579.3,9,0,9,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHALLOW,3179.5,10,0,10,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SILVER,4323,11,0,11,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STRIP,2263.2,12,0,12,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POTATO,5332.9,13,0,13,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THIN,2867.4,14,0,14,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CLOWN,5590.3,15,0,15,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLANE,5297.6,16,0,16,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RAIN,2221.9,17,0,17,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DRUGS,4777.8,18,0,18,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SLIDE,3665.9,19,0,19,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RAIN,1704.6,20,0,20,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NECK,4936.9,21,0,21,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FUNERAL,2219,22,0,22,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BABY,5256.9,23,0,23,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CRAWL,3273.3,24,0,24,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FAKE,1027.5,25,0,25,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WOOD,1340.2,26,0,26,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STING,2985.4,27,0,27,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,YELLOW,4712.4,28,0,28,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPOTS,2117.5,29,0,29,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ROSE,3260.4,30,0,30,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IRON,4170.5,31,0,31,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHIRT,3231.8,32,0,32,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OVEN,2430.6,33,0,33,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NIGHT,1670.4,34,0,34,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DOCTOR,2659.2,35,0,35,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHEEP,2993.6,36,0,36,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TREE,6665.8,37,0,37,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHIP,2818.6,38,0,38,0,1,60bbdd269e0a53d9fa207c54,001,2021-06-07_15h55.53.174,DelayedExp,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
