StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
472814,524720.73,space,6.17002,CAKE,7990.68,0,0,0,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXACT,7994.72,1,0,1,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CELL,8007.6,2,0,2,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HAIR,7994.84,3,0,3,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LETTUCE,7993.94,4,0,4,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CASTLE,7997.18,5,0,5,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLACE,7994.81,6,0,6,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SING,7994.28,7,0,7,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MUSIC,8000.115,8,0,8,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CRISP,8004.15,9,0,9,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WARM,7994.075,10,0,10,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STEAL,7997.615,11,0,11,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LARGE,7991.85,12,0,12,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WANT,8004.665,13,0,13,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MINIMUM,8004.09,14,0,14,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SHERIFF,8003.59,15,0,15,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CLOWN,7997.095,16,0,16,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SAME,7994.145,17,0,17,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAD,8004.8,18,0,18,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STUPID,8010.355,19,0,19,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ROSE,8005.2,20,0,20,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8008.54,21,0,21,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7988.215,22,0,22,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8007.6,23,0,23,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXTENT,8010.36,24,0,24,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7996.99,25,0,25,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOOL,7997.61,26,0,26,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ITCH,8002.465,27,0,27,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SNEEZE,8004.925,28,0,28,0,1,cd,001,2020-12-18_16h00.20.127,DelayedExpNT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
